epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,8846.79,0.63125,0.49592,1.01719,0.80631,0.78602,0.81669,0.56831,1.0997,0.75747,1.22294,0.000117625,0.000117625,0.000117625
125,8918,0.62308,0.49888,1.01551,0.8191,0.77432,0.8218,0.57058,1.1013,0.75734,1.22519,0.0001135,0.0001135,0.0001135
126,8991.14,0.62021,0.48847,1.01211,0.79955,0.79683,0.82441,0.57099,1.10231,0.75711,1.22978,0.000109375,0.000109375,0.000109375
127,9063.87,0.62913,0.49985,1.01526,0.80502,0.79404,0.82371,0.57148,1.09784,0.75684,1.22665,0.00010525,0.00010525,0.00010525
128,9135.74,0.6096,0.48654,1.01111,0.79522,0.78626,0.82128,0.56953,1.09928,0.76075,1.22407,0.000101125,0.000101125,0.000101125
129,9207.51,0.61905,0.48892,1.0112,0.80306,0.77422,0.82112,0.57272,1.1013,0.76525,1.22761,9.7e-05,9.7e-05,9.7e-05
130,9277.02,0.60712,0.47733,1.01071,0.81554,0.771,0.82253,0.57083,1.09534,0.76039,1.22236,9.2875e-05,9.2875e-05,9.2875e-05
131,9348.45,0.6215,0.48744,1.01452,0.84395,0.75505,0.82347,0.57068,1.09944,0.75509,1.22544,8.875e-05,8.875e-05,8.875e-05
132,9420.79,0.61636,0.4848,1.01314,0.82936,0.77328,0.82458,0.5685,1.10462,0.7521,1.22759,8.4625e-05,8.4625e-05,8.4625e-05
133,9490.2,0.61648,0.48273,1.00762,0.82207,0.77706,0.82097,0.56715,1.10833,0.75262,1.2317,8.05e-05,8.05e-05,8.05e-05
134,9562.38,0.61252,0.47838,1.00393,0.82461,0.77113,0.82122,0.5677,1.10579,0.75034,1.2294,7.6375e-05,7.6375e-05,7.6375e-05
135,9633.84,0.614,0.4759,1.00993,0.82492,0.77042,0.81906,0.56998,1.10539,0.75316,1.23167,7.225e-05,7.225e-05,7.225e-05
136,9704.37,0.61183,0.47462,1.0096,0.8362,0.75647,0.81895,0.57189,1.09984,0.74115,1.22891,6.8125e-05,6.8125e-05,6.8125e-05
